date;time;kinds;mode;duration
2021/06/29 ;15:32:21;1;3;0:00:00.154662
2021/06/29 ;15:32:24;1;2;0:00:07.049149
2021/06/29 ;15:32:36;2;2;0:00:00.159325
2021/06/29 ;15:32:36;1;2;0:00:00.155144
2021/06/29 ;15:32:49;2;2;0:00:00.159806
2021/06/29 ;15:51:13;2;2;0:00:00.170678
2021/06/29 ;15:51:13;1;2;0:00:00.172836
2021/06/29 ;15:51:31;1;2;0:00:00.154772
2021/06/29 ;15:51:31;2;2;0:00:00.159836
2021/06/29 ;15:51:38;1;1;0:00:00.154772
2021/06/29 ;15:51:40;2;1;0:00:00.159836
2021/06/29 ;15:53:44;1;2;0:02:05.659061
2021/06/29 ;15:53:44;2;2;0:02:03.721116
2021/06/29 ;16:01:19;2;2;0:00:01.785977
2021/06/29 ;16:01:19;1;2;0:00:01.788699
2021/06/29 ;16:02:07;2;1;0:00:01.785977
2021/06/29 ;16:02:09;2;2;0:00:02.194416
2021/06/29 ;16:02:48;1;2;0:00:10.444903
2021/06/29 ;16:02:48;2;2;0:00:10.458417
2021/06/29 ;16:03:27;1;1;0:00:10.444903
2021/06/29 ;16:03:31;2;1;0:00:10.458417
2021/06/29 ;16:05:36;1;2;0:02:08.540585
2021/06/29 ;16:05:36;1;3;0:02:08.540585
2021/06/29 ;16:05:42;2;2;0:02:10.691422
2021/06/29 ;16:05:43;2;3;0:02:10.691422
2021/06/29 ;16:06:54;1;2;0:03:27.066782
2021/06/29 ;16:06:57;2;2;0:03:25.739117
2021/06/29 ;16:10:59;1;2;0:00:00.285297
2021/06/29 ;16:10:59;2;2;0:00:00.284586
2021/06/29 ;16:13:05;1;1;0:00:00.285297
2021/06/29 ;16:13:07;2;1;0:00:00.284586
2021/06/29 ;16:14:10;1;2;0:01:04.814804
2021/06/29 ;16:14:11;2;2;0:01:04.369562
2021/06/29 ;16:30:22;2;2;0:00:00.229750
2021/06/29 ;16:30:22;1;2;0:00:00.229775
2021/06/29 ;16:38:32;1;1;0:00:00.229775
2021/06/29 ;16:38:33;1;2;0:00:01.193927
2021/06/29 ;16:43:16;2;1;0:00:00.229750
2021/06/29 ;16:43:26;2;2;0:00:09.425420
2021/06/29 ;16:43:28;1;1;0:00:01.193927
2021/06/29 ;16:43:29;1;2;0:00:01.353464
2021/06/29 ;16:55:58;2;2;0:00:00.329413
2021/06/29 ;16:55:58;1;2;0:00:00.332243
2021/06/29 ;16:56:13;1;1;0:00:00.332243
2021/06/29 ;16:56:15;1;2;0:00:01.500988
2021/06/29 ;17:05:48;2;2;0:00:00.263711
2021/06/29 ;17:05:48;1;2;0:00:00.267537
2021/06/29 ;17:05:56;1;1;0:00:00.267537
2021/06/29 ;17:06:01;1;2;0:00:04.680013
2021/06/29 ;17:06:03;2;1;0:00:00.263711
2021/06/29 ;17:06:06;2;2;0:00:03.030755
2021/06/29 ;17:06:08;1;1;0:00:04.680013
2021/06/29 ;17:07:07;1;2;0:00:58.161599
2021/06/29 ;17:25:03;1;1;0:00:58.161599
2021/06/29 ;17:25:06;1;2;0:00:03.162463
2021/06/29 ;17:25:12;1;1;0:00:03.162463
2021/06/29 ;17:27:08;2;1;0:00:03.030755
2021/06/29 ;17:31:01;1;2;0:05:48.699659
2021/06/29 ;17:31:04;2;2;0:03:55.230152
2021/06/29 ;17:35:02;1;1;5.0
2021/06/29 ;17:35:05;1;2;0:00:02.845184
2021/07/15 ;13:54:49;2;2;0:00:00.625293
2021/07/15 ;13:54:49;1;2;0:00:00.628284
